Id,Sentence
72,"Conclusively, I think other transportations are more convenient than cars and there should be fewer cars and the streets will be no traffic jam and less air pollution, it's my opinion."
73,But I want to be selfish when I travel.
74,"He said in other words that the more flouride may create damage in human body, specifically the bone."
75,When these people create their new ideas others often look very strange on them.
76,If in this society who will not to do study they never concept there opportunity or can't understand any ideas so most of the important that in this situation and I also very interestion and also prefer that for the study material.
77,This is a universal truth.
78,You will learn to socialize with people.
79,We have to know this problem it's serious but almost people doens't know about this.
80,And the evidence of it is the complicate water-control system.
81,"No ohter transportation concept has been as successful as the car, not only because the goog street and highway system throughout the United States and Europe, but only because off the fact, that people love their cars."
82,It seems really good apatize.
83,This is most clearly shown in the field of economics.
84,"If they prefer to choose cars than motor bike, that means there will be many cars."
85,They don't have a big meat like on TV.
86,And it may increase more speeders.
87,"Obviously the doctor participate in the trial of these medications and they work for months and years to standarize the dose, the effects on the ailment , its side effects, physical and psychological dependance, and more over its toxic effects on the living being."
88,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas.
89,That's why he is a legend in these days and people repect him.
90,"Suth as, culers and people"
91,"But in other waythismakes other way country need to pay extra money to make, repair the roads What they did is reduce the amount of gas consumers, high the gas tax, and low the income tax because they thought, only rise the gas tax is unfair."
92,"Second, it is truffce that"
93,"Today, MBA students with a background in engineering are in high demand."
94,"For example, video materials will help instructing to students."
95,In the case of young people the best way is studying as hard as possible to get better grades so in the future they will have better chance to find better jobs.
96,I think these researches are very noble and hopefully they will provide a better energy source.
97,So the school try learning the students a bit in every science exist.
98,"for example, in math club, teachers usually teach us how to solve a math problem using vary ways."
99,I think they have to get skill on it.
100,Specializing in one particular subject does not suit our life in this era which is characterized by diversity and innovation
